a650f853-06a8-47d1-8f68-deb222a012eb,Ethe,McGarrell,Ad Serving,Senior Software Developer,"""Everybody wants to go to heaven, but nobody wants to die.""",2018-06-06 13:20:37,7e82e612-92fd-4178-8bf8-7e88a189681f,Alister,Pittman,Ad Delivery,Lead Software Developer
d0a67ada-4613-4a52-bcb3-12f6bbfb9a61,Janene,Tedman,Ad Serving,Director,"""Ralph's Observation:  It is a mistake to let any mechanical object realise that you  are in a hurry.""",2018-05-27 08:51:18,4bbc9268-8f46-4227-9930-023bd6496456,Meara,Simonetti,Ad Delivery,Senior Software Developer
9df71c45-4be6-41a4-acab-bf1051f6f98c,Alida,Deddum,DevOps,Senior DevOps Engineer,"""Believe everything you hear about the world; nothing is too impossibly bad.  -- Honor'e de Balzac""",2018-06-19 11:22:06,cb257552-2661-4d4d-aa8e-f2781f03f53b,Dylan,Aberdeen,Quality Insurance,Lead Software Developer
4cdbc120-d0f9-4673-a372-35c1e2328cce,Steffie,Ceccoli,Quality Insurance,Senior Software Developer,"""Laugh and the world laughs with you, snore and you sleep alone.""",2018-08-02 17:55:24,9df71c45-4be6-41a4-acab-bf1051f6f98c,Alida,Deddum,DevOps,Senior DevOps Engineer
ae3e9564-4d17-4c9c-94d7-1b4f62736874,Fredric,Trustey,DevOps,DevOps Engineer,"""The light of a hundred stars does not equal the light of the moon.""",2018-05-27 13:41:32,7a2dcfa9-e250-449f-a8e4-eaae8fa6cfa6,Shoshana,Bachura,Ad Delivery,Senior Software Developer
447e3706-8dcd-4b5d-b620-c99bbc91419b,Miller,Beldum,Project Management,Project Lead,""" I've finally learned what `upward compatible' means. It means we get to keep all our old mistakes.  -- Dennie van Tassel""",2018-10-10 09:28:48,dfdda4e0-5257-4671-80ab-400385a324f2,Laughton,Parncutt,Ad Delivery,Software Engineer Intern
d0a67ada-4613-4a52-bcb3-12f6bbfb9a61,Janene,Tedman,Ad Serving,Director,"""economist, n:  Someone who's good with figures, but doesn't have enough  personality to become an accountant.""",2018-10-16 10:48:32,3e3aa907-3a75-4ab7-85a7-53fb6245f711,Jerri,Whatling,Data Insights,Director
ae3e9564-4d17-4c9c-94d7-1b4f62736874,Fredric,Trustey,DevOps,DevOps Engineer,"""QOTD:  I'm not really for apathy, but I'm not against it either...""",2018-10-12 14:30:15,a0b48f82-2612-47bb-b1df-818c1fd79df0,Cristian,McIlheran,DevOps,Lead DevOps Engineer
9205dd58-283b-4506-b52f-0626b480ff6d,Shurwood,Bertolin,Analytics,Lead Software Developer,"""The light of a hundred stars does not equal the light of the moon.""",2018-08-22 12:25:19,d6ef4984-b4b1-42dd-b6c3-7d214b202562,Herve,Noorwood,Data Insights,Senior Data Scientist
a0b48f82-2612-47bb-b1df-818c1fd79df0,Cristian,McIlheran,DevOps,Lead DevOps Engineer,"""Memory fault - where am I?""",2018-05-23 09:03:20,a75ac7c7-0852-44d1-a2d9-de6b899fd6c4,Dimitri,Gregg,Quality Insurance,Senior Software Developer
262210d5-9a49-4b35-adee-90bd4c06e5e1,Ethe,Stockell,Support,Senior Technical Support Specialist,"""The bogosity meter just pegged.""",2018-06-28 13:29:10,3d75ba58-0f1a-49d2-a484-a0e8f95a3e63,Gran,Salmond,Data Insights,Data Scientist Intern
0bf13136-4134-4357-bc96-1ad43f937318,Hillard,Mattiussi,Ad Serving,Software Engineer Intern,"""Knocked, you weren't in.  -- Opportunity""",2018-09-10 16:54:38,bbd28c6e-5766-42c9-80ad-055b830773eb,Jany,Andreuzzi,Quality Insurance,Senior Software Developer
e238115b-6f1c-4ad9-b6d5-4cc6138492c6,Hallie,Gockelen,Analytics,Senior Software Developer,"""He who hesitates is sometimes saved.""",2018-05-29 12:24:28,7a041199-fcdd-45c5-bdba-4d9e4211d4ad,Holly,Halleybone,Ad Delivery,Software Developer
fd9c654e-a5c7-407f-9f86-291d2394c409,Ange,Sulland,Ad Delivery,Director,"""The bomb will never go off. I speak as an expert in explosives.  -- Admiral William Leahy, U.S. Atomic Bomb Project""",2018-08-24 22:23:46,0bf13136-4134-4357-bc96-1ad43f937318,Hillard,Mattiussi,Ad Serving,Software Engineer Intern
a3d15ecd-cfaa-482f-a11c-500557916adf,Laverna,Simonato,Support,Technical Support Specialist,"""Government [is] an illusion the governed should not encourage.  -- John Updike, Couples""",2018-08-10 16:27:34,e87b6855-fa9f-4e82-9129-da453b843bf2,Emlyn,Jurca,Data Insights,Lead Data Scientist
